ヒット文字列,出現数,法令名,XML_Num属性,タグ名,文脈スニペット
三陸,36,公職選挙法施行規則,,Sentence,南三陸町
五十六の,36,地方税法,700_58_1,Sentence,道府県は、狩猟税の納税義務者が第七百条の五十六の規定によつて申告し、又は報告すべき事項に
八百三十四条,36,民法,3_3,Sentence,る審判が確定したものを除く。）は、新法第八百三十四条本文又は第八百三十五条の規定による親権喪
〇フ,36,関税定率法,,Sentence,フレームレートが毎秒二二五、〇〇〇フレームを超えること。
十九、,36,建築基準法,77_66_2,Sentence,第七十七条の五十八第二項、第七十七条の五十九、第七十七条の六十、第七十七条の六十三第一
五ノ,36,恩給法,66_2,Sentence,定率（同法第二十七条の三又ハ第二十七条の五ノ規定ニ依リ改定シタルモノニ限ル以下国民年
三十平,36,建築基準法,85_1_2,Sentence,ら使用するために建築するもので延べ面積が三十平方メートル以内のもの
二基,35,労働基準法施行規則,24_5_2,Sentence,の七において「第二基準日」という。）に新たに十労働日以上の有
八丈,35,下級裁判所の設立及び管轄区域に関する法律,,Sentence,八丈島簡易裁判所
七頭,35,競馬法施行規則,,Sentence,出走すべき馬が七頭であるとき
六番,35,昭和二十二年法律第五十四号（私的独占の禁止及び公正取引の確保に関する法律）,7_4_2_4,Sentence,、単独で、当該違反行為をした事業者のうち六番目以降に公正取引委員会に当該違反行為に係
五・五パ,35,地方税法施行令,3_2_2_2,Sentence,項に規定する商業手形の基準割引率のうち年五・五パーセントの割合を超える部分の割合を年〇・
十ニ,35,明治三十九年法律第三十四号（国債ニ関スル法律）,8_1,Sentence,百二十条の二十ニ於テ準用スル場合ヲ含ム）及第五百二十条の
八百二十二条,35,預金保険法,126_15_1,Sentence,保険会社等である場合にあつては、会社法第八百二十二条第一項（保険業法第二百十三条において準用
七百四条,35,地方税法,1_1_10,Sentence,併特例区」を加える部分に限る。）、同法第七百四条第一項の改正規定（「地方開発事業団」の下
八マ,35,無線設備規則,14_1,Sentence,一五・六マイクロ秒又は一、〇六七・六八マイクロ秒の自然数倍の値のもの
二視,35,身体障害者福祉法施行規則,,Sentence,ぞれ八〇度以下かつ両眼中心視野角度（Ⅰ／二視標による。以下同じ。）が二八度以下のもの
三十三第,35,社会保険診療報酬支払基金法,15_1_7,Sentence,号、地方公務員等共済組合法第百四十四条の三十三第一項第三号又は高齢者の医療の確保に関する
百」,35,一般職の職員の給与に関する法律,16_5,Sentence,のは、「百分の百」とする。
三十五度,35,港則法施行規則,29_3_2_1,Sentence,路（名古屋港高潮防波堤中央堤西灯台（北緯三十五度三十四秒東経百三十六度四十八分六秒）から
三上,35,地方自治法施行令,121_2_2_1,Sentence,については、別表第三上欄に定めるものとし、その金額については、
五ア,35,電気用品安全法施行令,,Sentence,たる構成要素とするものに限り、定格電流が五アンペアを超えるもの及び機械器具に組み込ま
百十日,35,公認会計士法施行令,27_6,Sentence,配当は、前項の規定による公示をした日から百十日を経過した後、配当表に従い実施するものと
十七」,35,地方税法,2_2,Sentence,七・三」と、同条第二項第二号中「百分の六十七」とあるのは「百分の六十八」と、同条第三項
三台,35,建築基準法,,Sentence,しくは乾燥研磨又は三台以上の研磨機による金属の乾燥研磨で原動機
七百六十三条,35,金融商品取引法,166_6_10,Sentence,除く。）により新設分割設立会社（会社法第七百六十三条第一項に規定する新設分割設立会社をいう。
三四度,35,港湾法施行令,,Sentence,２９）　堺泉北大和川南防波堤北灯台（北緯三四度三六分一八秒東経一三五度二三分一七秒）か
七番,35,公職選挙法,322_3,Sentence,地、千四百七十三番地、千四百七十七番地から千四百七十九番地まで、千四百八十六
三三度,35,港湾運送事業法施行令,1,Sentence,沙弥島北端（北緯三四度二一分一二秒東経一三三度四九分九秒）から小瀬居島南端（北緯三四度
千鳥,35,港則法施行規則,,Sentence,北水堤、同水堤開口部を結んだ線、瑞穂橋、千鳥橋、村雨橋、万代橋、金港橋、築地橋、弁天
三百に,35,厚生年金保険法,50_1,Sentence,額の計算の基礎となる被保険者期間の月数が三百に満たないときは、これを三百とする。
・五メ,34,無軌条電車建設規則,5_1,Sentence,ル未満の道路が交会し内側路端線の半径が七・五メートルに満たない箇所に設けてはならない。
一。,34,医療法施行規則,,Sentence,国最小値よりも小さい構想区域にあつては、一。以下「補正率」という。）を乗じて得た数に
十二日,34,最高裁判所裁判官国民審査法,43_2,Sentence,央選挙管理会においてこれを定め少なくとも十二日前に官報で告示しなければならない。
十三章,34,公職選挙法施行令,132_2,ArticleCaption,議院小選挙区選出議員の再選挙に関する法第十三章の規定等の特例）
百二十以,34,厚生年金保険法,16_1,Sentence,額の計算の基礎となる被保険者期間の月数が百二十以上であるものに限る。）の受給権者であつた
四未,34,関税定率法,,Sentence,比重が〇・九四未満のポリエチレン
七十二第,34,金融商品取引法,66_75_1,Sentence,投資運用関係業務受託業者は、第六十六条の七十二第一項各号（第六号を除く。）に掲げる事項に
十七ま,34,地方税法,5_10,Sentence,新法第七十三条の二十五から第七十三条の二十七までの規定は、前項の規定によりなお効力を有
七区,34,港則法施行規則,,Sentence,第七区
四十八第,34,地方税法施行規則,6,ArticleCaption,（適格合併に係る合併法人が法第七十二条の四十八第二項ただし書の規定により納付すべき事業税
十一度,34,港則法施行規則,,Sentence,大黒信号所の十七度、百九十一度及び二百七十一度方向に面する信号板並びに内港信号所の二十
百八十五号,34,産業標準化法に基づく登録申請手数料の額等を定める政令,,EnactStatement,内閣は、工業標準化法（昭和二十四年法律第百八十五号）第二十条の規定に基き、この政令を制定す
一不,34,地方自治法,1_1_3,Sentence,）別表第一不動産の鑑定評価に関する法律（昭和三十八年
・六パ,34,地方税法,64_1,Sentence,ら納付の日までの期間の日数に応じ、年十四・六パーセント（次の各号に掲げる税額の区分に応
四視,34,身体障害者福祉法施行規則,,Sentence,３　周辺視野角度（Ⅰ／四視標による。以下同じ。）の総和が左右眼それ
五十名,34,金融商品取引法施行令,1_8_3_1,Sentence,適格機関投資家を除く。）の人数との合計が五十名以上となることとする。
九回,34,国会法,1,Sentence,ただし、第一条の規定は、第二十九回国会の召集の日から施行する。
千名,34,企業内容等の開示に関する内閣府令,15_3_4,Sentence,価証券の所有者（非居住者を除く。）の数が千名以上となつたことが認められる場合には、金
四線,34,船舶設備規程,173_1_6,Sentence,交流三相四線式
七若,34,地方税法,701_49_2,Sentence,第七百一条の四十六又は第七百一条の四十七若しくは前項若しくは本項の規定によつて申告
八百二条,34,地方自治法,2_5,Sentence,機構の業務が行われる場合には、地方税法第八百二条第四号中「業務以外」とあるのは、「業務及
七回,34,電波法施行規則,46_2_1_3_3,Sentence,動再送信を行う場合にあつては、その回数は七回以内であること。
七た,34,地方自治法施行令,133_2_1,Sentence,地方自治法第百八十条の七ただし書の規定による事務は、公安委員会の権
二百十九号,34,児童福祉法,56_5_1,Sentence,め国有財産特別措置法（昭和二十七年法律第二百十九号）第二条第二項第二号の規定又は同法第三条
八億,34,競馬法,,Sentence,四億円以上八億円未満
二千五百分,34,建築基準法施行規則,10_2_1_1,Sentence,位置を、付近の地形及び方位を表示した縮尺二千五百分の一以上の平面図に記載して作成すること。
